Plot ,Treatment,Time point,Algal taxa,Points,Points within dead coral,Total points
15,Removal,2021,Asparagopsis,16,7,881
15,Removal,2021,Turbinaria,0,0,881
15,Removal,2021,Halimeda,0,0,881
15,Removal,2022,Lobophora,20,12,881
15,Removal,2022,Asparagopsis,1,0,881
15,Removal,2022,Turbinaria,0,0,881
15,Removal,2022,Halimeda,0,0,881
15,Removal,2023,Lobophora,20,14,881
15,Removal,2023,Asparagopsis,42,15,881
15,Removal,2023,Turbinaria,0,0,881
15,Removal,2023,Halimeda,7,3,881
16,Removal,2019,Lobophora,0,0,800
16,Removal,2019,Asparagopsis,0,0,800
16,Removal,2019,Turbinaria,0,0,800
16,Removal,2019,Halimeda,0,0,800
16,Removal,2020,Lobophora,29,23,800
16,Removal,2020,Asparagopsis,1,1,800
16,Removal,2020,Turbinaria,0,0,800
16,Removal,2020,Halimeda,0,0,800
16,Removal,2021,Lobophora,36,31,800
16,Removal,2021,Asparagopsis,9,3,800
16,Removal,2021,Turbinaria,0,0,800
16,Removal,2021,Halimeda,0,0,800
16,Removal,2022,Lobophora,22,20,800
16,Removal,2022,Asparagopsis,3,1,800
16,Removal,2022,Turbinaria,0,0,800
16,Removal,2022,Halimeda,0,0,800
16,Removal,2023,Lobophora,2,2,800
16,Removal,2023,Asparagopsis,28,21,800
16,Removal,2023,Turbinaria,3,2,800
16,Removal,2023,Halimeda,13,7,800
17,Retention,2019,Lobophora,2,2,805
17,Retention,2019,Asparagopsis,2,1,805
17,Retention,2019,Turbinaria,0,0,805
17,Retention,2019,Halimeda,10,1,805
17,Retention,2020,Lobophora,153,114,805
17,Retention,2020,Asparagopsis,4,4,805
17,Retention,2020,Turbinaria,0,0,805
17,Retention,2020,Halimeda,0,0,805
17,Retention,2021,Lobophora,120,93,805
17,Retention,2021,Asparagopsis,0,0,805
17,Retention,2021,Turbinaria,0,0,805
17,Retention,2021,Halimeda,0,0,805
17,Retention,2022,Lobophora,53,26,805
17,Retention,2022,Asparagopsis,1,0,805
17,Retention,2022,Turbinaria,0,0,805
17,Retention,2022,Halimeda,8,0,805
17,Retention,2023,Lobophora,26,19,805
17,Retention,2023,Asparagopsis,39,17,805
17,Retention,2023,Turbinaria,7,0,805
17,Retention,2023,Halimeda,5,1,805
18,Retention,2019,Lobophora,12,12,787
18,Retention,2019,Asparagopsis,3,3,787
18,Retention,2019,Turbinaria,0,0,787
18,Retention,2019,Halimeda,1,1,787
18,Retention,2020,Lobophora,171,149,787
18,Retention,2020,Asparagopsis,15,10,787
18,Retention,2020,Turbinaria,0,0,787
18,Retention,2020,Halimeda,0,0,787
18,Retention,2021,Lobophora,92,80,787
18,Retention,2021,Asparagopsis,54,36,787
18,Retention,2021,Turbinaria,0,0,787
18,Retention,2021,Halimeda,0,0,787
18,Retention,2022,Lobophora,86,70,787
18,Retention,2022,Asparagopsis,11,5,787
18,Retention,2022,Turbinaria,0,0,787
18,Retention,2022,Halimeda,14,8,787
18,Retention,2023,Lobophora,63,44,787
18,Retention,2023,Asparagopsis,44,16,787
18,Retention,2023,Turbinaria,2,0,787
18,Retention,2023,Halimeda,9,7,787
19,Removal,2019,Lobophora,0,0,821
19,Removal,2019,Asparagopsis,0,0,821
19,Removal,2019,Turbinaria,0,0,821
19,Removal,2019,Halimeda,0,0,821
